S.No,YEAR,FLIGHT_NUMBER,DEPARTURE_DELAY,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,COMPLAINT_TYPE,COMPLAINT_DESCRIPTION,COMPLAINT_STATUS,COMPENSATION_AMNT,COMPENSATION_TYPE
0,2015,84,4,-1,0,0,,,,,,
1,2015,193,11,11,0,0,,,,,,
2,2015,1096,39,35,0,0,,,,,,
3,2015,291,,,0,1,A,A,,open,0,0
4,2015,2314,9,14,0,0,,,,,,
5,2015,84,-6,-2,0,0,,,,,,
6,2015,193,-5,0,0,0,,,,,,
7,2015,1096,96,88,0,0,,,,,,
8,2015,291,-1,10,0,0,,,,,,
9,2015,2314,71,74,0,0,,,,,,
10,2015,84,45,40,0,0,,,,,,
11,2015,193,73,77,0,0,,,,,,
12,2015,1096,14,22,0,0,,,,,,
13,2015,291,891,883,0,0,,,late,open,0,0
14,2015,2314,130,128,0,0,,,late,open,0,0
15,2015,84,-3,-12,0,0,,,,,,
16,2015,193,-1,16,0,0,,,,,,
17,2015,1096,106,104,0,0,,,late,open,0,0
18,2015,291,74,107,0,0,,,late,open,0,0
19,2015,2314,104,114,0,0,,,late,open,0,0
20,2015,84,-4,-1,0,0,,,,,,
21,2015,193,-4,-7,0,0,,,,,,
22,2015,1096,-5,-1,0,0,,,,,,
23,2015,291,-4,18,0,0,,,,,,
24,2015,2314,19,27,0,0,,,,,,
25,2015,84,3,-10,0,0,,,,,,
26,2015,1653,2,-14,0,0,,,,,,
27,2015,193,-5,38,0,0,,,,,,
28,2015,1096,56,96,0,0,,,,,,
29,2015,291,85,83,0,0,,,,,,
30,2015,2314,129,144,0,0,,,late,open,0,0
31,2015,84,44,31,0,0,,,,,,
32,2015,1653,9,15,0,0,,,,,,
33,2015,193,28,58,0,0,,,,,,
34,2015,1096,13,15,0,0,,,,,,
35,2015,291,124,119,0,0,,,late,open,0,0
36,2015,2314,97,89,0,0,,,,,,
37,2015,84,-3,-2,0,0,,,,,,
38,2015,1653,0,-10,0,0,,,,,,
39,2015,193,-7,-10,0,0,,,,,,
40,2015,1096,-6,-13,0,0,,,,,,
41,2015,291,-6,-13,0,0,,,,,,
42,2015,2314,14,10,0,0,,,,,,
43,2015,84,-5,38,0,0,,,,,,
44,2015,1653,135,144,0,0,,,,,,
45,2015,193,-2,28,0,0,,,,,,
46,2015,1096,-4,-11,0,0,,,,,,
47,2015,291,3,2,0,0,,,,,,
48,2015,2314,22,23,0,0,,,,,,
49,2015,84,2,-5,0,0,,,,,,
50,2015,1653,0,-20,0,0,,,,,,
51,2015,193,-1,1,0,0,,,,,,
52,2015,1096,-3,1,0,0,,,,,,
53,2015,291,11,7,0,0,,,,,,
54,2015,2314,-2,-3,0,0,,,,,,
55,2015,84,-1,-9,0,0,,,late,open,0,0
56,2015,1653,17,0,0,0,,,,,,
57,2015,193,-1,0,0,0,,,,,,
58,2015,1096,29,32,0,0,,,,,,
59,2015,291,44,19,0,0,,,,,,
60,2015,2314,81,76,0,0,,,,,,
61,2015,84,1,5,0,0,,,,,,
62,2015,1653,5,2,0,0,,,,,,
63,2015,193,-3,3,0,0,,,,,,
64,2015,1096,-4,17,0,0,,,,,,
65,2015,291,-3,-16,0,0,,,,,,
66,2015,2314,59,53,0,0,,,,,,
67,2015,84,1,-14,0,0,,,,,,
68,2015,1653,12,7,0,0,,,,,,
69,2015,193,-6,-15,0,0,,,,,,
70,2015,1096,-9,-7,0,0,,,,,,
71,2015,291,36,0,0,0,,,,,,
72,2015,2314,-6,-21,0,0,,,,,,
73,2015,84,44,38,0,0,,,,,,
74,2015,1653,-2,-4,0,0,,,,,,
75,2015,193,-7,-8,0,0,,,,,,
76,2015,1096,-5,-12,0,0,,,,,,
77,2015,291,2,-15,0,0,,,,,,
78,2015,2314,8,-8,0,0,,,late,open,0,0
79,2015,84,-5,-10,0,0,,,,,,
80,2015,1653,-4,-2,0,0,,,,,,
81,2015,193,-5,-4,0,0,,,,,,
82,2015,1096,33,37,0,0,,,,,,
83,2015,291,22,-7,0,0,,,,,,
84,2015,2314,30,13,0,0,,,,,,
85,2015,84,1,11,0,0,,,,,,
86,2015,1653,2,1,0,0,,,,,,
87,2015,193,1,19,0,0,,,,,,
88,2015,1096,-6,-9,0,0,,,,,,
89,2015,291,-2,-9,0,0,,,,,,
90,2015,2314,59,56,0,0,,,,,,
91,2015,84,28,24,0,0,,,,,,
92,2015,1653,1,-8,0,0,,,,,,
93,2015,193,-2,-13,0,0,,,,,,
94,2015,1096,-1,-11,0,0,,,,,,
95,2015,291,-3,-29,0,0,,,,,,
96,2015,2314,5,-4,0,0,,,,,,
97,2015,84,-4,-18,0,0,,,,,,
98,2015,1653,-4,7,0,0,,,,,,
99,2015,193,-4,-6,0,0,,,,,,
100,2015,1096,6,35,0,0,,,,,,
101,2015,291,-4,-17,0,0,,,,,,
102,2015,2314,15,17,0,0,,,,,,
103,2015,84,-4,-8,0,0,,,,,,
104,2015,1653,-5,-11,0,0,,,,,,
105,2015,193,-2,-1,0,0,,,,,,
106,2015,1096,-6,0,0,0,,,,,,
107,2015,291,-7,-9,0,0,,,,,,
108,2015,2314,40,43,0,0,,,,,,
109,2015,84,-6,-20,0,0,,,,,,
110,2015,1653,-7,-27,0,0,,,,,,
111,2015,193,-6,-14,0,0,,,,,,
112,2015,1096,-5,-4,0,0,,,,,,
113,2015,291,0,-21,0,0,,,,,,
114,2015,2314,-6,-20,0,0,,,late,open,0,0
115,2015,84,-4,-9,0,0,,,,,,
116,2015,1653,0,-12,0,0,,,,,,
117,2015,193,-6,-11,0,0,,,,,,
118,2015,1096,-4,-17,0,0,,,,,,
119,2015,291,-4,-14,0,0,,,,,,
120,2015,2314,-10,-15,0,0,,,,,,
